"التعليقات النحوية Grammar Comments ","تصحيح الكلمة الأصلية (إن لزم) Correction of original word (if necessary)","الكلمة الأصلية Original word","المستوى التعليمي CEFR level","عدد تكرار الكلمة Frequency of word"
"فعل",,"أضع","C1",8
"صفة",,"إباحي","C1",8
"شبه جملة",,"بسلام","C1",8
"فعل",,"تشوف","C1",8
"صفة",,"طرفي","C1",8
"اسم",,"وحده","C1",8
"اسم",,"تان","C1",7.99
"فعل",,"تتوافر","C1",7.99
"شبه جملة",,"جميع","C1",7.97
"اسم",,"كم","C1",7.97
"فعل",,"نشوف","C1",7.97
"فعل",,"يسري","C1",7.97
"فعل",,"واصبح","C1",7.96
"فعل",,"واضافت","C1",7.96
"اسم",,"إيصال","C1",7.95
"صفة",,"شجيع","C1",7.95
"اسم تفضيل",,"أقدم","C1",7.94
"فعل",,"تملأ","C1",7.94
"صفة",,"ماشي","C1",7.94
"فعل",,"يستمع","C1",7.94
"فعل ",,"انضم","C1",7.93
"اسم",,"بروفيسور","C1",7.93
"اسم",,"جمار","C1",7.93
"اسم",,"حيض","C1",7.93
"اسم",,"مكافأة","C1",7.92
"اسم",,"ثقل","C1",7.91
"فعل",,"تستعد","C1",7.9
"اسم",,"ماجستير","C1",7.9
"اسم",,"تساؤلات","C1",7.89
"اسم",,"توثيق","C1",7.89
"فعل",,"تشغل","C1",7.88
"فعل",,"تضحي","C1",7.88
"اسم",,"ذروة","C1",7.88
"حرف جر",,"فمنهم","C1",7.88
"اسم",,"البتة","C1",7.87
"فعل / اسم",,"تقاعد","C1",7.87
"اسم",,"صمود","C1",7.87
"اسم",,"تحرم","C1",7.86
"صفة",,"فرنسي","C1",7.86
"فعل",,"لا محالة","C1",7.86
"اسم",,"مرحباً","C1",7.86
"اسم",,"نحاس","C1",7.86
"فعل",,"أعرب","C1",7.85
"اسم",,"برق","C1",7.85
"فعل",,"تجيب","C1",7.85
"اسم",,"حاجب","C1",7.85
"صفة",,"مئوية","C1",7.85
"اسم",,"مساهم","C1",7.85
"فعل",,"يرتد","C1",7.85
"اسم",,"أزواج","C1",7.83
"اسم",,"فراش","C1",7.83
"فعل",,"خاطب","C1",7.82
"فعل",,"نشير","C1",7.82
"اسم",,"عروة","C1",7.8
"اسم",,"مشتبه","C1",7.8
"فعل",,"يخرج","C1",7.8
"اسم",,"أضرار","C1",7.79
"فعل",,"يتساءل","C1",7.79
"اسم تفضيل",,"أروع","C1",7.78
"فعل",,"ينتشر","C1",7.78
"اسم",,"خضوع","C1",7.77
"صفة",,"دجال","C1",7.77
"اسم علم",,"فردوس","C1",7.77
"اسم",,"أخيرا","C1",7.77
"فعل",,"اجعل","C1",7.76
"اسم",,"جملة","C1",7.76
"اسم",,"معشر","C1",7.76
"اسم",,"وجه","C1",7.76
"اسم",,"أرجح","C1",7.74
"اسم",,"إرتداء","C1",7.74
"فعل",,"تفسر","C1",7.74
"فعل ",,"تولد","C1",7.74
"اسم",,"مرض الإيدز","C1",7.74
"فعل",,"تبيع","C1",7.73
"اسم",,"تقدّم","C1",7.73
"اسم",,"جبير","C1",7.73
"صفة",,"رافد","C1",7.73
"اسم",,"كوسيلة","C1",7.73
"اسم",,"مولاي","C1",7.73
"اسم (مضاف ومضاف إليه)",,"بيت شعر","C1",7.71
"اسم",,"حشر","C1",7.71
"اسم",,"اجل","C2",7.7
"فعل",,"سخر","C2",7.69
"اسم",,"طوع","C2",7.69
"اسم علم",,"نواف","C2",7.69
"فعل",,"تحافظ","C2",7.68
"اسم",,"انتقام","C2",7.67
"فعل",,"ترضى","C2",7.67
"اسم",,"خضرة","C2",7.67
"اسم / فعل",,"رهن","C2",7.67
"صفة",,"متغير","C2",7.67
"ضمير",,"هن","C2",7.67
"فعل",,"تستغرق","C2",7.66
"اسم",,"مجيء","C2",7.66
"اسم علم",,"قسام","C2",7.65
"اسم",,"مهاجم","C2",7.65
"اسم",,"انقضاء","C2",7.64
"فعل",,"تتعدى","C2",7.64
"اسم",,"اكتساب","C2",7.62
"اسم",,"خيمة","C2",7.62
"اسم",,"مقاعد","C2",7.62
"اسم",,"مياه","C2",7.62
"فعل",,"تخاف","C2",7.61
"فعل",,"تفصل","C2",7.61
"فعل",,"خلا","C2",7.61
"اسم",,"دفتر","C2",7.61
"صفة",,"ذريع","C2",7.61
"صفة",,"عذبة","C2",7.61
"اسم",,"منذر","C2",7.61
"اسم",,"ستر","C2",7.59
"اسم",,"متتالية","C2",7.59
"اسم",,"اختفاء","C2",7.58
"اسم",,"اتخاذ","C2",7.58
"فعل",,"تضيع","C2",7.58
"اسم",,"حمر","C2",7.58
"اسم",,"سنْن","C2",7.58
"اسم",,"ماسة","C2",7.58
"اسم",,"اندلاع","C2",7.57
"فعل",,"تفريق","C2",7.57
"فعل  ",,"حقْق","C2",7.57
"اسم",,"ضياع","C2",7.57
"اسم",,"مدفع","C2",7.57
"اسم",,"محض","C2",7.56
"فعل",,"أخذ","C2",7.56
"فعل",,"عايزين","C2",7.55
"اسم",,"استغناء","C2",7.54
"اسم",,"كتف","C2",7.54
"اسم",,"مرقب","C2",7.54
"فعل",,"أدّى","C2",7.54
"فعل",,"نبغ","C2",7.53
"فعل",,"نشاهد","C2",7.53
"اسم",,"نصرة","C2",7.53
"اسم علم",,"اسرائيل","C2",7.53
"اسم",,"سعي","C2",7.51
"صفة",,"فرنسية","C2",7.51
"فعل",,"نخرج","C2",7.51
"اسم",,"نفذة","C2",7.51
"اسم",,"اتخاذ","C2",7.51
"فعل",,"نَظَرَ","C2",7.5
"اسم",,"صيغة","C2",7.5
"صفة",,"غامض","C2",7.5
"اسم",,"كفاح","C2",7.5
"اسم تفضيل",,"أضعف","C2",7.49
"اسم",,"طاقم","C2",7.49
"فعل",,"اهتم","C2",7.48
"اسم",,"دجاج","A2",7.48
"فعل",,"نعتبر","C2",7.48
"اسم",,"بذر","C2",7.47
"فعل",,"رتب","C2",7.47
"اسم",,"اندماج","C2",7.46
"صفة",,"إضافية","C2",7.45
"صفة",,"متمرد","C2",7.45
"صفة",,"ممتد","C2",7.45
"اسم",,"مهنة","C2",7.45
"فعل",,"نأت","C2",7.45
"اسم  ",,"التحاق","C2",7.44
"اسم علم",,"فيتامين","C2",7.44
"فعل",,"يضع","C2",7.44
"اسم علم",,"عطا","C2",7.43
"فعل",,"تتسع","C2",7.42
"اسم",,"جثة","C2",7.42
"اسم",,"دوافع","C2",7.42
"فعل",,"فسد","C2",7.42
"صفة",,"واثق","C2",7.42
"اسم علم",,"اليابان","C2",7.42
"فعل",,"تصوف","C2",7.41
"اسم",,"إغلاق","C2",7.4
"فعل",,"انقطع","C2",7.4
"صفة",,"قبطي","C2",7.4
"فعل ",,"انصرف","C2",7.39
"اسم",,"شان","C2",7.39
"اسم",,"مظل","C2",7.39
"اسم تفضيل",,"أدق","C2",7.38
"فعل",,"شحن","C2",7.38
"فعل",,"حكى","C2",7.37
"فعل",,"اتجار","C2",7.36
"اسم",,"وداع","C2",7.36
"اسم",,"جفاف","C2",7.35
"صفة",,"شافع","C2",7.35
"اسم",,"قُطر","C2",7.35
"اسم",,"مصادرة","C2",7.35
"فعل",,"تحسب","C2",7.34
"فعل",,"تعثر","C2",7.34
"اسم",,"ظبي","C2",7.34
"صفة",,"معرفي","C2",7.34
"صفة",,"سام","C2",7.33
"فعل",,"سِرّ","C2",7.33
"اسم",,"ولاية","A1",7.32
"اسم",,"غنم","C2",7.32
"اسم / صفة",,"ميّت","C2",7.32
"صفة",,"تنموي","C2",7.31
"اسم",,"مذيع","C2",7.31
"اسم",,"اختلاط","C2",7.3
"اسم",,"درك","C2",7.3
"فعل",,"صرخ","C2",7.3
"اسم",,"طواف","C2",7.3
"اسم",,"غداء","C2",7.3
"فعل",,"إضغط","C2",7.29
"اسم",,"اثبات","C2",7.29
"اسم تفضيل",,"أعظم","C2",7.29
"اسم",,"تفاؤل","C2",7.29
"اسم علم",,"عاشوراء","C2",7.29
"اسم علم",,"عبير","C2",7.29
"فعل",,"شجع","C2",7.27
"اسم علم",,"ماركس","C2",7.27
"صفة",,"ماركسي","C2",7.27
"فعل",,"تمار","C2",7.26
"فعل",,"ردد","C2",7.26
"اسم",,"غرق","C2",7.26
"اسم",,"وجود","C2",7.26
"اسم",,"سياسة","B2",7.25
"اسم تفضيل",,"أحرى","C2",7.24
"فعل",,"خفف","C2",7.24
"اسم",,"غش","C2",7.24
"فعل",,"نعرفه","C2",7.24
"أداة استفهام",,"عمّا","C2",7.23
"اسم",,"عنب","C2",7.23
"اسم",,"مستواه","C2",7.23
"اسم",,"كوكب","C2",7.22
"فعل",,"يشمل","C2",7.22
"اسم",,"تقييد","C2",7.21
"اسم علم",,"حيفا","C2",7.21
"صفة",,"خفي","C2",7.21
"اسم",,"صراط","C2",7.21
"اسم",,"أسابيع","A2",7.19
"اسم علم",,"ألمانيا","A1",7.19
"اسم",,"تهيئة","C2",7.19
"اسم",,"عروبة","C2",7.19
"اسم  ",,"متظاهر","C2",7.19
"فعل",,"يجر","C2",7.19
"فعل",,"أورد","C2",7.18
"اسم",,"جرحى","C2",7.18
"اسم",,"عداد","C2",7.18
"اسم",,"مسلمون","C2",7.18
"فعل",,"يطلب","C2",7.18
"اداة استفهام",,"إيش","C2",7.17
"اسم علم",,"إيران","C2",7.17
"فعل",,"أخشى","C2",7.16
"فعل",,"تتعارض","C2",7.15
"صفة",,"كامن","C2",7.15
"صفة",,"مسود","C2",7.15
"فعل",,"استمر","C2",7.15
"اسم",,"رامي","C2",7.14
"اسم",,"نفوسهم","C2",7.14
"اسم",,"سلامة","C2",7.14
"اسم",,"ترسيخ","C2",7.13
"فعل",,"تروح","C2",7.13
"صفة",,"ناسفة","C2",7.13
"فعل",,"يحمل","C2",7.13
"اسم",,"استيطان","C2",7.12
"فعل",,"تهاجم","C2",7.12
"فعل / اسم",,"تَوَقّع","C2",7.11
"اسم",,"خرقة","C2",7.1
"اسم علم",,"شوال","C2",7.1
"اسم",,"متبع","C2",7.1
"فعل",,"تحضر","C2",7.09
"اسم",,"دلالة","C2",7.09
"اسم",,"رفق","C2",7.09
"اسم",,"قاموس","C2",7.09
"اسم",,"قطرة","C2",7.09
"اسم",,"مهل","C2",7.09
"صفة",,"متساوية","C2",7.08
"صفة",,"تشكيلي","C2",7.07
"فعل",,"تطل","C2",7.07
"فعل",,"تعذر","C2",7.07
"اسم",,"لهجة","C2",7.07
"اسم",,"إبراز","C2",7.06
"فعل",,"تفك","C2",7.06
"اسم",,"خمسمائة","A2",7.06
"اسم",,"مناهض","C2",7.06
"فعل",,"وظب","C2",7.06
"فعل",,"يوجد","C2",7.06
"اسم ",,"بارح","C2",7.05
"اسم",,"صميم","C2",7.05
"اسم",,"حفلة","C2",7.04
"اسم",,"ميعاد","C2",7.04
"اسم",,"بديلة","C2",7.03
"اسم / فعل",,"تفاقم","C2",7.03
"ظرف زمان",,"دلوقتي","C2",7.03
"اسم",,"ديك","A2",7.03
"اسم",,"ذيل","C2",7.03
"اسم",,"عاتق","C2",7.03
"اسم",,"عصابة","C2",7.03
"اسم",,"فاكهة","C2",7.03
"اسم علم",,"كوبا","C2",7.03
"فعل",,"يسمى","C2",7.03
"صفة",,"رحيب","C2",7.02
"اسم",,"سلفة","C2",7.02
"فعل",,"نحصل","C2",7.02
"صفة",,"استعماري","C2",7.01
"فعل",,"تتردد","C2",7.01
"اسم علم",,"عاشور","C2",7.01
"اسم",,"وهاب","C2",7.01
"اسم",,"موجز","C2",7
"اسم علم",,"نانسي","C2",7
"اسم",,"واعادة","C2",7
"فعل",,"تضيف","C2",6.99
"فعل",,"تعمد","C2",6.99
"فعل",,"تظن","C2",6.98
"اسم",,"تكريس","C2",6.98
"اسم / صفة",,"عقلاء","C2",6.98
"فعل",,"يستعد","C2",6.98
"فعل",,"ينقطع","C2",6.98
"اسم تفضيل",,"أغلى","B1",6.97
"فعل",,"تكثر","C2",6.97
"فعل",,"خيم","C2",6.97
"اسم",,"سيولة","C2",6.97
"اسم",,"طائل","C2",6.97
"اسم",,"قرصة","C2",6.97
"فعل",,"مرر","C2",6.97
"فعل",,"يتسنى","C2",6.97
"فعل / اسم تفضيل",,"أتم","C2",6.95
"فعل",,"ابلغ","C2",6.95
"اسم",,"أمثال","C2",6.95
"فعل",,"تتطور","C2",6.95
"اسم",,"ذوق","C2",6.95
"صفة",,"عايش","C2",6.95
"صفة",,"مكثف","C2",6.95
"اسم",,"اقتحام","C2",6.94
"اسم",,"انهاء","B1",6.94
"اسم",,"تحريض","C2",6.94
"اسم",,"تناد","C2",6.94
"صفة",,"رافض","C2",6.94
"صفة",,"متداول","C2",6.94
"اسم",,"هوة","C2",6.94
"فعل",,"يذهب","C2",6.94
"فعل ",,"أنزل","C2",6.93
"فعل",,"تلتقي","C2",6.93
"شبه جملة",,"معايا","C2",6.93
"اسم",,"موهب","C2",6.93
"اسم  ",,"إقليم","C2",6.92
"اسم / صفة",,"ميتة","C2",6.92
"اسم علم",,"حضرموت","C2",6.91
"صفة",,"مرتبة","C2",6.91
"اسم",,"مزيج","C2",6.91
"صفة",,"مشغول","C2",6.91
"فعل",,"اوى","C2",6.9
"صفة",,"مُر","C2",6.9
"اسم",,"ثلاثمائة","A2",6.89
"اسم علم",,"كامب ديفيد","C2",6.89
"فعل",,"نكتب","C2",6.89
"صفة",,"أهم","C2",6.89
"فعل",,"تمض","C2",6.88
"فعل",,"نتعلم","C2",6.88
"فعل",,"ابتعد","C2",6.88
"اسم",,"إيمان","C2",6.87
"اسم علم",,"جوجل","C2",6.87
"فعل",,"نشهد","C2",6.87
"اسم علم",,"نوكيا","C2",6.87
"اسم",,"سواء","C2",6.87
"اسم",,"ألغام","C2",6.86
"اسم",,"أساس","C2",6.86
"فعل",,"تغلق","C2",6.86
"اسم",,"شدة","C2",6.86
"اسم",,"كومة","C2",6.86
"اسم",,"مفاتيح","C2",6.86
"فعل",,"هرس","C2",6.86
"اسم",,"هيئة","C2",6.86
"صفة",,"وسيع","C2",6.86
"فعل",,"أعجب","C2",6.85
"اسم",,"شروع","C2",6.85
"فعل",,"تجوز","C2",6.84
"اسم",,"تعداد","C2",6.84
"صفة",,"خاضع","C2",6.84
"فعل",,"فجأ","C2",6.84
"اسم",,"إدانة","C2",6.83
"اسم",,"إنساناً","C2",6.83
"اسم",,"توصيل","C2",6.83
"اسم",,"عشائر","C2",6.83
"فعل",,"ننتقل","C2",6.82
"اسم",,"سكتة","C2",6.81
"اسم",,"عرقة","C2",6.81
"اسم",,"فصيلة","C2",6.81
"فعل",,"يصل","C2",6.81
"اسم",,"بكر","C2",6.8
"اسم",,"مصل","C2",6.8
"اسم",,"معزل","C2",6.8
"فعل",,"يتسم","C2",6.8
"فعل",,"ينبع","C2",6.8
"فعل",,"تخشى","C2",6.79
"ظرف مكان",,"بين","C2",6.79
"اسم",,"رؤى","C2",6.77
"اسم",,"قطن","C2",6.77
"صفة",,"متناول","C2",6.77
"اسم",,"مساس","C2",6.77
"اسم علم",,"هالة","C2",6.77
"فعل",,"تلبس","C2",6.76
"اسم",,"محضر","C2",6.76
"اسم",,"قمعة","C2",6.75
"اسم",,"مليء","C2",6.75
"اسم علم",,"فيينا","C2",6.74
"اسم",,"إخفاء","C2",6.73
"اسم",,"افتراض","C2",6.73
"اسم",,"برج","B1",6.73
"ظرف مكان",,"برّه","C2",6.73
"اسم / صفة",,"مستورد","C2",6.73
"اسم",,"نموذجاً","C2",6.73
"فعل",,"تعترض","C2",6.71
"فعل",,"تعزز","C2",6.71
"صفة / اسم علم",,"سامية","C2",6.71
"صفة",,"متوكل","C2",6.71
"اسم",,"ملكوت","C2",6.71
"فعل",,"تشتمل","C2",6.69
"اسم",,"خوارج","C2",6.69
"صفة",,"متكلم","C2",6.69
"اسم",,"مشوار","C2",6.69
"اسم",,"نابل","C2",6.69
"صفة",,"نهائية","C2",6.69
"فعل",,"انتهي","C2",6.69
"فعل",,"يعيش","C2",6.69
"اسم",,"اتساع","C2",6.68
"فعل",,"صعد","C2",6.68
"اسم",,"فراشة","C2",6.68
"فعل",,"نتر","C2",6.68
"فعل",,"يستجيب","C2",6.68
"فعل",,"تبذل","C2",6.67
"ظرف",,"حيثما","C2",6.67
"فعل",,"يستغرق","C2",6.67
"اسم",,"استدعاء","C2",6.66
"صفة",,"اجمالي","C2",6.65
"اسم",,"بقع","C2",6.65
"اسم",,"ركزة","C2",6.65
"صفة",,"معتزل","C2",6.65
"اسم",,"هدايا","C2",6.65
"فعل",,"يعلم","C2",6.65
"اسم",,"محاور","C2",6.64
"فعل",,"أستطع","C2",6.63
"فعل",,"أسس","B2",6.63
"اسم",,"إحالة","C2",6.63
"اسم",,"اهالي","C2",6.63
"اسم",,"سكرتير","A2",6.63
"فعل",,"شكى","C2",6.63
"صفة",,"معيشي","C2",6.63
"صفة",,"آت","C2",6.62
"فعل",,"تجزأ","C2",6.62
"فعل",,"تحتمل","C2",6.62
"فعل",,"تدير","C2",6.62
"اسم",,"راجل","C2",6.62
"اسم",,"زلزال","C2",6.62
"فعل",,"تستدعي","C2",6.61
"صفة",,"متفاوت","C2",6.61
"فعل",,"يضم","C2",6.61
"اسم",,"اكتتاب","C2",6.6
"فعل",,"تناقش","C2",6.6
"اسم",,"ذئب","A2",6.6
"اسم علم  ",,"عبدالوهاب","C2",6.6
"فعل",,"اتقى","C2",6.59
"اسم",,"وسائل","C2",6.59
"فعل",,"يظل","C2",6.59
"فعل",,"تحق","C2",6.57
"اسم",,"روض","C2",6.57
"اسم",,"سجين","C1",6.57
"اسم",,"قفا","C2",6.57
"فعل",,"تألف","C2",6.56
"فعل",,"تصح","C2",6.55
"فعل",,"تفوز","C2",6.55
"اسم / فعل",,"تسرب","C2",6.54
"اسم علم",,"حفص","C2",6.54
"اسم",,"عقيدة","C2",6.54
"اسم",,"محرك","C2",6.54
"فعل",,"تفتقر","C2",6.53
"فعل",,"فاكه","C2",6.53
"اسم",,"إمارة","C2",6.52
"اسم",,"إنحياز","C2",6.52
"اسم",,"تبديل","C2",6.52
"اسم",,"جثث","C2",6.52
"صفة",,"متعارف","C2",6.52
"فعل",,"أرجع","C2",6.51
"فعل",,"تلاحظ","C2",6.51
"فعل",,"تلجأ","C2",6.51
"اسم",,"شيب","C2",6.51
"اسم",,"عضلة","C2",6.51
"اسم",,"ملاحق","C2",6.51
"اسم",,"جواز","C2",6.5
"اسم علم  ",,"عبدالكريم","C2",6.49
"اسم",,"عيادة","C2",6.49
"اسم",,"إكمال","C2",6.48
"اسم",,"تدقيق","C2",6.48
"اسم",,"تمرير","C2",6.48
"اسم",,"حسد","C2",6.48
"اسم / صفة",,"ستار","C2",6.48
"فعل",,"تستغل","C2",6.47
"اسم",,"خواطر","C2",6.47
"اسم",,"فيشة","C2",6.47
"اسم",,"مقارب","C2",6.47
"اسم علم",,"إيميل","C2",6.46
"اسم",,"خضم","C2",6.46
"فعل",,"يمتنع","C2",6.46
"اسم علم",,"كوندوليزا","C2",6.45
"اسم",,"مصور","C2",6.45
"فعل",,"يستبعد","C2",6.45
"فعل",,"أنتظر","C2",6.44
"اسم مكان",,"المسجد الأقصى","C2",6.44
"فعل",,"تشرف","C2",6.44
"اسم علم",,"فورد","C2",6.44
"اسم",,"كلى","C2",6.44
"فعل",,"تشك","C2",6.43
"فعل",,"رقع","C2",6.43
"اسم",,"فايز","C2",6.43
"اسم",,"لهيئة","C2",6.43
"صفة",,"مستدامة","C2",6.43
"صفة",,"مغن","C2",6.43
"اسم",,"إمبراطور","C2",6.42
"فعل",,"ترسم","C2",6.42
"اسم / فعل",,"تلاعب","C2",6.42
"فعل",,"عانى","C2",6.42
"صفة",,"عجيبة","C2",6.42
"ظرف",,"غروب الشمس","C2",6.42
"اسم",,"فوات","C2",6.42
"اسم  ",,"محو","C2",6.42
"فعل",,"نتذكر","C2",6.42
"اسم",,"أخطار","C2",6.4
"اسم تفضيل",,"أعمق","B2",6.4
"فعل",,"احتل","C2",6.4
"اسم  ",,"برغوث","C2",6.4
"فعل",,"تنوي","C2",6.4
"اسم",,"حلاوة","C2",6.4
"صفة",,"شتى","C2",6.4
"صفة",,"مسبوقة","C2",6.4
"اسم",,"إفطار","C2",6.39
"فعل",,"بذل","C2",6.39
"فعل",,"تبعث","C2",6.39
"اسم",,"تسميته","C2",6.39
"اسم",,"جبران","C2",6.39
"اسم",,"غلق","C2",6.39
"فعل",,"نتفق","C2",6.39
"فعل",,"تورط","C2",6.38
"اسم",,"سلوك","C2",6.38
"اسم",,"لباس","C2",6.38
"فعل",,"انتهي","C2",6.38
"اسم",,"جنازة","B2",6.37
"اسم",,"شبح","C2",6.37
"صفة",,"قدامى","C2",6.37
"اسم  ",,"التقاط","C2",6.36
"فعل",,"تستقبل","C2",6.36
"صفة",,"حنيف","C2",6.36
"صفة",,"ضعفاء","C2",6.36
"فعل",,"يستنكر","C2",6.36
"اسم",,"ضيوف","C2",6.35
"مصطلح سياسى",,"المندوب السامي","C2",6.34
"فعل",,"تتسبب","C2",6.34
"اسم",,"ثروات","C2",6.34
"فعل",,"رهب","C2",6.34
"اسم",,"معابر","C2",6.34
"اسم",,"مولاه","C2",6.34
"اسم",,"إرشاد","C2",6.33
"اسم علم",,"ايار","C2",6.33
"صفة",,"صارم","C2",6.33
"اسم",,"عبرة","C2",6.33
"صفة",,"منصرم","C2",6.33
"فعل",,"تجسس","C2",6.32
"فعل",,"خصخص","C2",6.32
"صفة",,"طاغ","C2",6.32
"اسم",,"أقطار","C2",6.31
"اسم",,"ثناء","C2",6.31
"اسم",,"عاطفة","C2",6.31
"صفة",,"غارم","C2",6.31
"فعل",,"نرفض","C2",6.31
"فعل",,"نلتقي","C2",6.31
"للتحذير",,"إياك","C2",6.3
"اسم",,"إيمانه","C2",6.3
"فعل",,"صلى","C2",6.3
"اسم",,"فضة","C2",6.3
"اسم",,"مصروف","C2",6.3
"اسم",,"هجير","C2",6.3
"فعل",,"خلط","C2",6.29
"اسم",,"أقل","C2",6.29
"حرف",,"كأن","C2",6.29
"اسم",,"إعاقة","C2",6.28
"اسم علم",,"هتلر","C2",6.28
"اسم",,"حذيفة","C2",6.27
"اسم",,"صرخة","C2",6.27
"اسم",,"وساط","C2",6.27
"فعل",,"أنهى","C2",6.26
"اسم",,"إغاثة","C2",6.26
"فعل ",,"امتنع","C2",6.26
"اسم",,"تجميد","C2",6.26
"اسم",,"رصيف","C2",6.26
"اسم علم",,"سيتي","C2",6.26
"اسم",,"ضج","C2",6.26
"اسم",,"هموم","C2",6.26
"فعل",,"قال","C2",6.26
"اسم",,"اكتئاب","C2",6.25
"اسم",,"نفي","C2",6.25
"فعل",,"يكتمل","C2",6.25
"اسم",,"خطايا","C2",6.24
"اسم",,"مفسر","C2",6.24
"اسم",,"ناقل","C2",6.24
"فعل",,"أدلى","C2",6.23
"فعل",,"أنسى","C2",6.23
"صفة",,"إبداعي","C2",6.23
"اسم",,"بحيرة","C2",6.23
"فعل",,"تضحك","C2",6.23
"اسم",,"خراب","C2",6.23
"فعل",,"تصر","C2",6.22
"فعل",,"يستغل","C2",6.22
"فعل",,"أتفق","C2",6.2
"فعل",,"أعتبر","C2",6.2
"فعل",,"كفل","C2",6.2
"اسم",,"معلش","C2",6.2
"فعل",,"نعد","C2",6.2
"اسم",,"يتيم","C2",6.2
"فعل",,"يضطر","C2",6.2
"اسم",,"ضلال","C2",6.19
"صفة",,"عسكريا","C2",6.19
"صفة",,"كلاسيكي","C2",6.19
"اسم",,"مقابر","C2",6.19
"اسم",,"مقاول","C2",6.19
"صفة",,"موضحاً","C2",6.19
"فعل",,"استطاع","C2",6.19
"اسم",,"تسيير","C2",6.18
"اسم علم",,"ماكين","C2",6.18
"اسم",,"استقطاب","C2",6.17
"فعل",,"تجدد","C2",6.17
"اسم",,"عصفور","C2",6.17
"اسم علم",,"الباكستان","C2",6.17
"اسم",,"إخبار","C2",6.16
"فعل",,"تزل","C2",6.16
"اسم",,"سكون","C2",6.16
"صفة",,"عسكرياً","C2",6.16
"اسم",,"نظرهم","C2",6.16
"فعل",,"تكتمل","C2",6.15
"اسم  ",,"حمص","C2",6.15
"اسم",,"عنكبوت","C2",6.15
"فعل",,"تليق","C2",6.14
"اسم",,"مضاف","C2",6.14
"فعل",,"ينتفع","C2",6.14
"اسم",,"اختطاف","C2",6.13
"اسم",,"بقاع","C2",6.13
"فعل",,"تتألف","C2",6.13
"صفة",,"رافع","C2",6.13
"فعل",,"لغى","C2",6.13
"فعل",,"احتاج","C2",6.13
"فعل",,"تناول","C2",6.13
"فعل",,"يتضمن","C2",6.13
"فعل",,"فنى","C2",6.12
"اسم",,"أنيس","C2",6.11
"اسم",,"انتفاع","C2",6.11
"فعل",,"تتشكل","C2",6.11
"اسم",,"تفاح","C2",6.11
"اسم",,"حليل","C2",6.11
"اسم",,"سداد","C2",6.11
"اسم",,"مفاصل","C2",6.11
"صفة",,"وهمي","C2",6.11
"اسم",,"اجزاء","C2",6.1
"فعل",,"يدوي","C2",6.1
"اسم تفضيل",,"أمجد","C2",6.09
"اسم",,"شحنة","C2",6.09
"اسم",,"هول","C2",6.09
"اسم من الأسماء الخمسة",,"أخى","C2",6.08
"فعل",,"تتزوج","C2",6.08
"اسم",,"مسلما","C2",6.08
"اسم",,"أنبوبة","C2",6.07
"اسم",,"إتصال","C2",6.07
"اسم / صفة",,"عامية","C2",6.07
"اسم",,"منهاج","C2",6.07
"فعل",,"تضاف","C2",6.06
"فعل",,"يطلق","C2",6.06
"اسم",,"إستخدام","C2",6.05
"فعل",,"اعتذر","C2",6.05
"فعل",,"ترتد","C2",6.05
"فعل",,"تزول","C2",6.05
"فعل",,"تضر","C2",6.05
"اسم",,"شيش","C2",6.05
"فعل",,"ينظر","C2",6.05
"فعل",,"أود","C2",6.04
"فعل",,"تقر","C2",6.04
"اسم",,"حبي","C2",6.04
"فعل",,"خطئ","C2",6.04
"فعل",,"نبقى","C2",6.04
"فعل",,"هج","C2",6.04
"اسم  ",,"جوف","C2",6.03
"اسم",,"غسيل","C2",6.03
"اسم",,"مبادرات","C2",6.03
"اسم",,"منفذ","C2",6.03
"فعل",,"أخذ","C2",6.03
"فعل",,"إرتبط","C2",6.02
"اسم",,"حجز","C2",6.02
"حال",,"علي السواء","C2",6.02
"اسم",,"أقمار","C2",6.01
"اسم",,"بذور","C2",6.01
"فعل",,"تَمَنّى","C2",6.01
"فعل",,"اشتغل","C2",6
"اسم",,"اضطهاد","C2",6
"صفة",,"مسماة","C2",6
"اسم",,"معاش","C2",6
"فعل",,"حتم","C2",5.99
"صفة",,"سُنّي","C2",5.99
"اسم",,"عبوة","C2",5.99
"صفة",,"هادف","C2",5.99
"اسم",,"إمساك","C2",5.98
"فعل",,"صحح","C2",5.98
"اسم  ",,"مهمتها","C2",5.97
"اسم",,"مائة","C2",5.97
"اسم",,"أصابع","A2",5.96
"فعل",,"أنشأ","C2",5.96
"فعل منفى",,"ماكان","C2",5.96
"صفة",,"معدود","C2",5.96
"اسم",,"مكر","C2",5.96
"اسم / فعل",,"نبض","C2",5.96
"فعل",,"نعترف","C2",5.96
"اسم",,"هاد","C2",5.96
"فعل",,"تختفي","C2",5.95
"اسم",,"حيل","C2",5.95
"اسم",,"مصيبة","C2",5.95
"صفة",,"ملخص","C2",5.95
"فعل",,"إشتراط","C2",5.94
"اسم",,"اكتمال","C2",5.94
"اسم",,"ترميم","C2",5.94
"اسم  ",,"حمى","C2",5.94
"فعل",,"أحضر","C2",5.93
"اسم",,"اثارة","C2",5.93
"فعل",,"تتعلم","C2",5.93
"فعل",,"تلحق","C2",5.93
"اسم",,"جنيه","A2",5.93
"فعل",,"شيد","C2",5.93
"صفة",,"مضارب","C2",5.93
"فعل",,"نجعل","C2",5.93
"فعل",,"يطالب","C2",5.93
